realtime_start,value,date,realtime_end
2019-12-06,182042.0,1960-12-01,2019-12-06
2019-12-06,182287.0,1961-01-01,2019-12-06
2019-12-06,182520.0,1961-02-01,2019-12-06
2019-12-06,182742.0,1961-03-01,2019-12-06
2019-12-06,182992.0,1961-04-01,2019-12-06
2019-12-06,183217.0,1961-05-01,2019-12-06
2019-12-06,183452.0,1961-06-01,2019-12-06
2019-12-06,183691.0,1961-07-01,2019-12-06
2019-12-06,183958.0,1961-08-01,2019-12-06
2019-12-06,184243.0,1961-09-01,2019-12-06
2019-12-06,184524.0,1961-10-01,2019-12-06
2019-12-06,184783.0,1961-11-01,2019-12-06
2019-12-06,185016.0,1961-12-01,2019-12-06
2019-12-06,185242.0,1962-01-01,2019-12-06
2019-12-06,185452.0,1962-02-01,2019-12-06
2019-12-06,185650.0,1962-03-01,2019-12-06
2019-12-06,185874.0,1962-04-01,2019-12-06
2019-12-06,186087.0,1962-05-01,2019-12-06
2019-12-06,186314.0,1962-06-01,2019-12-06
2019-12-06,186538.0,1962-07-01,2019-12-06
2019-12-06,186790.0,1962-08-01,2019-12-06
2019-12-06,187058.0,1962-09-01,2019-12-06
2019-12-06,187323.0,1962-10-01,2019-12-06
2019-12-06,187574.0,1962-11-01,2019-12-06
2019-12-06,187796.0,1962-12-01,2019-12-06
2019-12-06,188013.0,1963-01-01,2019-12-06
2019-12-06,188213.0,1963-02-01,2019-12-06
2019-12-06,188387.0,1963-03-01,2019-12-06
2019-12-06,188580.0,1963-04-01,2019-12-06
2019-12-06,188790.0,1963-05-01,2019-12-06
2019-12-06,189018.0,1963-06-01,2019-12-06
2019-12-06,189242.0,1963-07-01,2019-12-06
2019-12-06,189496.0,1963-08-01,2019-12-06
2019-12-06,189761.0,1963-09-01,2019-12-06
2019-12-06,190028.0,1963-10-01,2019-12-06
2019-12-06,190265.0,1963-11-01,2019-12-06
2019-12-06,190472.0,1963-12-01,2019-12-06
2019-12-06,190668.0,1964-01-01,2019-12-06
2019-12-06,190858.0,1964-02-01,2019-12-06
2019-12-06,191047.0,1964-03-01,2019-12-06
2019-12-06,191245.0,1964-04-01,2019-12-06
2019-12-06,191447.0,1964-05-01,2019-12-06
2019-12-06,191666.0,1964-06-01,2019-12-06
2019-12-06,191889.0,1964-07-01,2019-12-06
2019-12-06,192131.0,1964-08-01,2019-12-06
2019-12-06,192376.0,1964-09-01,2019-12-06
2019-12-06,192631.0,1964-10-01,2019-12-06
2019-12-06,192847.0,1964-11-01,2019-12-06
2019-12-06,193039.0,1964-12-01,2019-12-06
